1,aH aH,阿,啊
2,aH aL,阿
3,aiH aiH,挨,誒,哎,唉,哀,埃
4,aiH aiL,鑀,愛,賹,艾,譪,礙,曖,噯,僾,嬡,濭,鴱,靉,隘,璦,薆
5,aiL aiH,敳,皚,靄,欸,騃,藹,捱,矮
6,aiL aiL,靄,昹,佁,欸,藹,矮
7,aM aM,阿,啊
8,angH angH,骯,腌
9,angH angL,盎,醠
10,angL angH,昂,卬
11,angL angL,軮
12,anH anH,萻,胺,垵,諳,銨,媕,腤,峖,鵪,韽,安,鞍,侒,氨,盦,庵,痷
13,anH anL,暗,案,桉,荌,婩,犴,儑,闇,菴,豻,錌,按,匼,洝,黯,匎,岸
14,anL anH,雸,啽,玵
15,anL anL,俺,堷,晻,唵
16,auH auH,坳,凹,柪
17,auH auL,嶴,墺,扷,擙,詏,懊,澳,拗,傲,奧,奡
18,auL auH,翱,遨,敖,隞,熬,滶,摮,蔜,簢,嗷,鏖,鰲,驁,鼇,聱,爊,螯,璈,獒,廒,謷,鏊,磝
19,auL auL,芺,拗,镺,媼,襖
20,b aH aH,笆,吧,叭,巴,疤,仈,朳,捌,豝,粑,芭,八
21,b aH aL,壩,爸,弝,猈,霸,罷,灞
22,b aiH aiH,掰
23,b aiH aiL,粺,拜,稗,庍,唄,敗
24,b aiL aiH,白,擺,百
25,b aiL aiL,矲,粨,佰,襬,百,捭,絔,擺
26,b aL aH,跋,軷,犮,詙,鈸,魃,茇,把,靶,胈,鼥,拔,菝
27,b aL aL,把,靶,鈀
28,b aM aM,吧,罷
29,b angH angH,縍,幫,傍,梆,邦,鞤,垹
30,b angH angL,艕,甏,傍,磅,旁,塝,蚌,鎊,謗,棒
31,b angL angH,綁,榜
32,b angL angL,膀,氆,牓,綁,榜
33,b anH anH,斑,虨,般,攽,搬,扳,瘢,褩,班,斒,頒
34,b anH anL,伴,拌,靽,鉡,怑,辦,湴,半,扮,姅,絆,瓣
35,b anL anH,板,版
36,b anL anL,昄,蝂,闆,舨,阪,扳,版,粄,鈑,板
37,b auH auH,褒,笣,包,苞,胞,孢,蕔
38,b auH auL,趵,豹,菢,虣,儤,抱,爆,刨,鮑,袌,忁,煲,暴,鉋,鑤,嚗,犦,報
39,b auL auH,鴇,薄,雹,寶,保,褓,飽,窇,瓝,堡
40,b auL auL,鴇,媬,葆,寶,保,褓,飽,鳵,怉,駂,堡
41,b eiH eiH,俾,背,卑,裨,偝,碑,椑,萆,悲,杯,盃,伓,綼,桮,鵯,藣,揹
42,b eiH eiL,背,犕,蓓,被,誖,糒,焙,哱,珼,奰,孛,鋇,輩,悖,邶,備,倍,琲,褙,貝,鄁,臂,憊,梖,郥,牬,狽
43,b eiL eiH,北
44,b eiL eiL,北
45,b enH enH,錛,渀,賁,泍,奔
46,b enH enL,坌,笨
47,b enL enH,本,苯
48,b enL enL,畚,本,苯
49,b ngH ngH,弸,塴,祊,閍,崩,伻,繃
50,b ngH ngL,搒,泵,迸,蹦,跰,洴
51,b ngL ngH,甭
52,b ngL ngL,誁,玤,琫,菶,埲
53,b oH oH,玻,襏,剝,缽,袚,嶓,蹳,柭,岥,蔔,鱍,菠,啵,波,播,撥,砵,碆
54,b oH oL,擘,檗,繴,挀,亳,播,蘗,譒,簸,薄
55,b oL oH,鸔,鎛,礡,泊,馞,糪,渤,襮,僰,駮,懪,鑮,搏,百,柏,白,勃,鋍,舶,欂,蔔,踄,箔,餑,荸,脖,謈,跛,浡,郣,挬,髆,博,伯,踣,膊,薄,鉑,餺,葧,帛,駁,簙,鵓,桲,胉,猼
56,b oL oL,蚾,簸,跛
57,b oM oM,蔔
58,b wuH wuH,晡,餔,鵏,逋,峬
